sample	group	dataset	n_cells
BIOREP_b5b26ac36f1a3d05	NDMM	MMRF_ImmuneAtlas	1054
BIOREP_21759e42a83438d4	NDMM	MMRF_ImmuneAtlas	402
BIOREP_6ae20e9c5502ae4f	NDMM	MMRF_ImmuneAtlas	126
BIOREP_21209f7663f4e8b2	NDMM	MMRF_ImmuneAtlas	325
BIOREP_2d211a2235ce72de	NDMM	MMRF_ImmuneAtlas	198
BIOREP_f642f0b18e9e9c3e	NDMM	MMRF_ImmuneAtlas	591
BIOREP_005ba0f0bfea3b63	NDMM	MMRF_ImmuneAtlas	105
BIOREP_f7d915c9c070c18f	NDMM	MMRF_ImmuneAtlas	156
BIOREP_32636202c01cc3b8	NDMM	MMRF_ImmuneAtlas	191
BIOREP_8344b928f2cc394f	NDMM	MMRF_ImmuneAtlas	1004
BIOREP_5f5c28627650c416	NDMM	MMRF_ImmuneAtlas	594
BIOREP_6ce3f1f8715c12f7	NDMM	MMRF_ImmuneAtlas	1391
BIOREP_17592c53ccc12097	NDMM	MMRF_ImmuneAtlas	137
BIOREP_30d615c5c0aec115	NDMM	MMRF_ImmuneAtlas	1172
BIOREP_66280fa8860aae96	NDMM	MMRF_ImmuneAtlas	273
BIOREP_f6deb51b5425a4b2	NDMM	MMRF_ImmuneAtlas	544
BIOREP_7dffae67d9652a85	NDMM	MMRF_ImmuneAtlas	281
BIOREP_37c22189aa4418e8	NDMM	MMRF_ImmuneAtlas	245
BIOREP_701f351c0f200321	NDMM	MMRF_ImmuneAtlas	362
BIOREP_a76bcbd2af392eb4	NDMM	MMRF_ImmuneAtlas	298
BIOREP_54e21c9d3ba61707	NDMM	MMRF_ImmuneAtlas	349
BIOREP_cbf833b02dd2837b	NDMM	MMRF_ImmuneAtlas	342
BIOREP_db625124cf3cc05a	NDMM	MMRF_ImmuneAtlas	124
BIOREP_8088009e20f5304e	NDMM	MMRF_ImmuneAtlas	669
BIOREP_6265ca12b6a432c8	NDMM	MMRF_ImmuneAtlas	472
BIOREP_72afdca28f4b560a	NDMM	MMRF_ImmuneAtlas	501
BIOREP_48e08a1719dfb768	NDMM	MMRF_ImmuneAtlas	1649
BIOREP_29509c5ba786db7c	NDMM	MMRF_ImmuneAtlas	218
BIOREP_eda030c633112f64	NDMM	MMRF_ImmuneAtlas	394
BIOREP_d49f29fcdb82c75b	NDMM	MMRF_ImmuneAtlas	278
BIOREP_9181894b51025203	NDMM	MMRF_ImmuneAtlas	217
BIOREP_a08b5d419769ea71	NDMM	MMRF_ImmuneAtlas	1516
BIOREP_5ba08aa5e94f1abb	NDMM	MMRF_ImmuneAtlas	363
