gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	signed_statistic	significant	direction
BUB1	1.58828098611933	1.28567540865476	0.370342859703953	3.47158146827108	0.0005174023106192	0.0011600938689282	3.47158146827108	True	higher_in_group_a
BUB1B	0.942741958749836	1.63727444754958	0.413380066781784	3.96070004123801	7.47303588229281e-05	0.0001930472549771	3.96070004123801	True	higher_in_group_a
BX284668.6	13.1006223702277	-1.98578151722089	0.203995993538132	-9.73441430284611	2.15052957842555e-22	6.22817260685133e-21	-9.73441430284611	True	higher_in_group_b
C10orf91	4.49697443474423	-0.443190876545901	0.200473749678102	-2.21071774862059	0.0270553886814768	0.0433021992218703	-2.21071774862059	True	higher_in_group_b
C11orf21	46.798855504474	0.202928920152138	0.0813751702715606	2.49374495285153	0.0126403333826622	0.0218264517799993	2.49374495285153	True	higher_in_group_a
C11orf96	1.34488722876844	0.110700488039131	0.386544644760915	0.286384741166447	0.774583460296286	0.814257628256612	0.286384741166447	False	higher_in_group_a
C11orf98	10.3777125963013	0.614586688032727	0.201289055285611	3.05325437173265	0.002263739599446	0.0045598433276322	3.05325437173265	True	higher_in_group_a
C12orf40	1.31048815201556	2.58109966473294	0.340605347057601	7.57797752451736	3.5098318125885404e-14	3.65935064780482e-13	7.57797752451736	True	higher_in_group_a
C12orf42	4.84187411137402	0.950064846790039	0.167131893826124	5.68452151794822	1.31179406242946e-08	6.25652556948288e-08	5.68452151794822	True	higher_in_group_a
C12orf57	450.612803332138	-0.276650738177629	0.0677856265048705	-4.08125958912176	4.47922935057921e-05	0.0001201042654225	-4.08125958912176	True	higher_in_group_b
C12orf75	397.464816676538	0.0324251820639747	0.0807577782232206	0.401511566778732	0.688043523890409	0.736352061186758	0.401511566778732	False	higher_in_group_a
C13orf46	1.46253379625611	0.850733736717068	0.280589836939563	3.03194779253644	0.0024298122497988	0.0048568294701691	3.03194779253644	True	higher_in_group_a
C15orf48	1.05093833199517	-1.1607497553882	0.465797873820052	-2.49196018407895	0.0127040277747259	0.0219074087957811	-2.49196018407895	True	higher_in_group_b
C15orf53	0.418718682235542	3.57749625797038	0.947113016333274	3.777264377403	0.000158560392885	0.0003889766249927	3.777264377403	True	higher_in_group_a
C16orf54	71.3769379823011	0.155343207872538	0.0945398560540067	1.64315045903811	0.100351807013745	0.138851993558506	1.64315045903811	False	higher_in_group_a
C16orf70	7.05491032828461	0.158704275931939	0.135990298478313	1.1670264548853	0.243199686159423	0.301569924821378	1.1670264548853	False	higher_in_group_a
