gene,full_log2FoldChange,full_pvalue,full_padj,eligible_fold_count,estimable_fold_count,direction_consistency_fraction,median_lodo_log2FoldChange,minimum_lodo_log2FoldChange,maximum_lodo_log2FoldChange,lodo_log2FoldChange_iqr,nominal_significant_fold_fraction,fdr_significant_fold_fraction,largest_effect_change_omitted_datasets,conserved,exclusion_reason
AC010245.1,-1.38305074448785,8.10913165676556e-06,2.44352042350976e-05,10,9,1.0,-1.3820956020804,-2.04660156489964,-1.07381658309634,0.044055590603909955,1.0,1.0,DISCO_ref,True,
AC010609.1,5.54201014623895,1.32856095638389e-17,2.21980393129142e-16,10,10,1.0,5.55992569198002,0.0303560243703789,5.80989087969164,0.18184401413783746,0.9,0.9,GSE194122_BMMC,True,
AC010680.3,-0.962583099772252,0.0010650308281792,0.0022652002069761,10,9,1.0,-0.966343229340227,-1.27112816650967,-0.619355502702264,0.1818502144910059,1.0,0.8888888888888888,NBM_66k,True,
AC010889.1,-1.04493213847842,0.0072388290657811,0.0131851907476998,10,9,1.0,-1.02756551377908,-2.01912761188887,-0.790860169533734,0.06995026883407995,0.8888888888888888,0.8888888888888888,DISCO_ref,True,
AC010894.3,6.24451855978917,2.38953538429154e-07,9.38000599270465e-07,10,10,1.0,6.3432143548804945,3.00051066885352,6.51064339815296,0.16786588667223779,0.9,0.9,GSE194122_BMMC,True,
AC010976.1,1.81785749563201,4.53040960189811e-06,1.43307192079459e-05,10,8,1.0,1.874257907687715,1.27205106958477,2.08561519464602,0.22778465921344737,0.875,0.875,MMRF_ImmuneAtlas,True,
AC011092.2,1.99410473302042,0.0001088973556827,0.0002739777582886,10,8,1.0,2.117699902654045,1.96996680730094,2.27192155674049,0.21580834525239778,0.875,0.875,inhouse_NBM,True,
AC011287.1,1.4315981143745,0.0110538851478703,0.0193368802939087,10,10,1.0,1.481600562540165,0.363765152443436,1.66589411486871,0.6961943412651548,0.7,0.7,GSE194122_BMMC,True,
AC011445.2,-1.14445889654863,2.9571570789838e-05,8.13491285105148e-05,10,9,1.0,-1.06831259560604,-2.88099827317689,-0.802784920070506,0.1352024977580799,1.0,1.0,DISCO_ref,True,
AC011471.2,-1.15229153190803,0.0002078311628122,0.0004987629293921,10,8,1.0,-1.1481209990373449,-1.84823860285716,-0.840378159377401,0.07592647484296,1.0,1.0,DISCO_ref,True,
AC011498.1,-1.41549247026901,1.28660188704228e-05,3.74905289946976e-05,10,9,1.0,-1.39738361063466,-2.53063726497982,-1.09672006262156,0.09653967579126,1.0,1.0,DISCO_ref,True,
AC011997.1,1.72931895115599,0.0024121058963948,0.0048318838184655,10,8,1.0,1.822559611492565,1.70691763378424,1.99810727118798,0.22287952778019515,0.875,0.875,inhouse_NBM,True,
AC012065.4,-1.14861612805367,2.8549493014375e-05,7.89122519002847e-05,10,9,1.0,-1.13666560776243,-2.04386325622831,-0.747636020933223,0.05764337276002007,1.0,1.0,DISCO_ref,True,
AC012085.2,3.0937363821998,7.83152728690502e-08,3.31109097701832e-07,10,9,1.0,3.20244897150899,2.91228706309847,3.35267891453011,0.22328369151713012,1.0,0.8888888888888888,inhouse_NBM,True,
AC012360.1,-1.09919610368616,0.0003395073997654,0.0007810468115523,10,9,1.0,-1.05970830260679,-2.2931752593146,-0.786965568616893,0.10212533423554992,1.0,1.0,DISCO_ref,True,
AC012467.2,-1.33723458536344,1.41437398086794e-06,4.90234811320784e-06,10,9,1.0,-1.3427242592274,-2.03315161255264,-0.961092467514105,0.14856847836503007,1.0,1.0,DISCO_ref,True,
AC012485.3,-2.54169586580803,5.1248382206224594e-18,9.08700055921935e-17,10,9,1.0,-2.54820852358809,-3.03665123344921,-2.21049119828932,0.03341302191961004,1.0,1.0,DISCO_ref,True,
AC012615.2,-2.3700177917725,6.04197343741727e-14,6.104032466910119e-13,10,9,1.0,-2.31959679450697,-3.49866317115864,-2.09291478037226,0.1479851173389899,1.0,1.0,GSE194122_BMMC,True,
AC013652.1,2.39615063573498,1.13223113327727e-06,3.99886239686614e-06,10,10,1.0,2.564687304702955,0.810381516365649,2.68355836992792,0.24369003779890486,0.9,0.8,GSE194122_BMMC,True,
AC015819.1,-0.859182778670954,0.0015819353593381,0.0032724718365992,10,9,1.0,-0.823314968377896,-2.55713734348722,-0.502719302515186,0.14425994273384501,0.8888888888888888,0.8888888888888888,DISCO_ref,True,
AC015921.1,-1.33895902195816,7.57073391319921e-06,2.29721978402255e-05,10,9,1.0,-1.35369319301281,-1.8671252610106,-1.00554671856786,0.1736313546797701,1.0,1.0,DISCO_ref,True,
AC015936.1,-1.29782566446918,1.36963178779149e-05,3.96000582903883e-05,10,9,1.0,-1.31043893548333,-1.71026557557138,-0.960779526503512,0.048953885990949964,1.0,1.0,DISCO_ref,True,
AC016405.3,-2.39995928322056,7.04277396239e-17,1.0510304594978101e-15,10,9,1.0,-2.41023321428849,-3.35593785316111,-2.03744230729239,0.14674179040390012,1.0,1.0,DISCO_ref,True,
AC016575.1,-2.2367462825778,3.2964629025668203e-15,3.97788451645389e-14,10,9,1.0,-2.24176291073025,-2.76883223862925,-1.87816755247663,0.030474985595060122,1.0,1.0,DISCO_ref,True,
AC016745.2,-1.94874716970979,2.3043052528608697e-11,1.56349402319453e-10,10,9,1.0,-1.92283497427738,-3.40897295870237,-1.6116642640055,0.15212832829932998,1.0,1.0,DISCO_ref,True,
AC016831.1,-0.902071354867916,7.10581252239669e-08,3.02388576973502e-07,10,10,1.0,-0.879597406182975,-2.12705233972701,-0.163382434588572,0.2278375649410883,0.9,0.9,DISCO_ref,True,
AC016831.7,3.66716629924542,9.199233947224391e-112,2.39778032834404e-108,10,10,1.0,3.6792845416452797,3.46531492619982,3.8842901357618,0.12206137537269512,1.0,1.0,NBM_66k,True,
AC017002.5,4.31195002292778,0.0301285191751654,0.0475651031072493,10,10,1.0,4.350965751005365,1.4939618496048,4.57921076973134,0.6115504173123072,0.8,0.7,GSE194122_BMMC,True,
AC017071.1,-1.42938600516674,1.92289801228951e-06,6.4964791562315e-06,10,9,1.0,-1.42366310727053,-2.11212870991361,-1.10144952777221,0.040635135788400056,1.0,1.0,DISCO_ref,True,
AC017101.1,2.81269390456744,0.0297973205328098,0.0471171523875258,10,8,1.0,2.9512759066810803,1.45936771834912,3.12276430632696,0.2149225633896501,0.875,0.75,MMRF_ImmuneAtlas,True,
AC018410.1,-2.8767448042583,2.58542229702793e-22,7.4463018974622e-21,10,9,1.0,-2.88653954196553,-3.1620837433365,-2.54741556439988,0.13214096612707005,1.0,1.0,NBM_66k,True,
AC018529.2,-2.68501382261566,2.2091246097421602e-24,7.834126932371331e-23,10,9,1.0,-2.6896515437385,-3.55665955167768,-2.28468861164071,0.14314704068715,1.0,1.0,DISCO_ref,True,
AC018557.1,-2.71557472058017,5.44317605980147e-18,9.618737898218661e-17,10,9,1.0,-2.7247315654311,-3.14928288667654,-2.41906565842532,0.07004560768523005,1.0,1.0,DISCO_ref,True,
AC018557.2,-2.21240337110588,2.34640441732529e-06,7.80489506932729e-06,10,9,1.0,-2.23162864154194,-2.40134994971179,-2.01398444863052,0.06155082947091994,1.0,1.0,NBM_66k,True,
AC018638.7,-1.54513103384247,7.57830536316785e-09,3.73753130162668e-08,10,9,1.0,-1.50433017781645,-2.89518559623331,-1.15388046443298,0.10695385240798005,1.0,1.0,DISCO_ref,True,
AC018653.3,-1.77613947661605,4.885018079058911e-09,2.46520805867707e-08,10,9,1.0,-1.79207121570099,-2.16949073024578,-1.4589695169568,0.035805019798580195,1.0,1.0,DISCO_ref,True,
AC019131.2,-1.46967216956985,4.51165489545071e-07,1.71173631513716e-06,10,9,1.0,-1.42503270837127,-2.65635524658651,-1.13511993865369,0.0912763244619399,1.0,1.0,DISCO_ref,True,
AC020656.2,-1.44260409333048,2.10756549867264e-06,7.06997358081112e-06,10,9,1.0,-1.43885999209253,-2.01150545026802,-1.11031718850473,0.05418568863345996,1.0,1.0,DISCO_ref,True,
AC020659.1,-0.513742358565999,0.0140216532880135,0.0239498291580649,10,10,1.0,-0.5313657990021995,-1.39380727822978,-0.290622928170444,0.2802912399346053,0.7,0.7,MMRF_ImmuneAtlas,True,
AC020911.1,-1.51818666951321,1.31175297482289e-07,5.36747900922426e-07,10,9,1.0,-1.51935632320509,-2.26134516683291,-1.16217189716017,0.023977203299139882,1.0,1.0,DISCO_ref,True,
AC020911.2,-1.33541659337193,1.27015033436447e-11,8.971942673498649e-11,10,10,1.0,-1.313709738514455,-1.93809891283164,-0.6646855855298,0.21725259657241236,0.9,0.9,MMRF_ImmuneAtlas,True,
AC020913.1,2.21821116488502,3.92123403518879e-06,1.25811570923808e-05,10,8,1.0,2.3115742699368447,1.31976998077103,2.47544322723577,0.2025628809549005,0.875,0.875,MMRF_ImmuneAtlas,True,
AC020916.1,-2.90604900742078,1.8177006191493699e-41,3.3841690455806003e-39,10,10,1.0,-2.8654241437824703,-3.94234275800803,-2.33238051297737,0.23019554799715758,1.0,1.0,DISCO_ref,True,
AC020917.3,-0.894961242970486,0.0067025402378479,0.0122511719003862,10,9,1.0,-0.837228104877795,-2.12993661055622,-0.572009365484578,0.14424912584332006,0.8888888888888888,0.7777777777777778,DISCO_ref,True,
